date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:31	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2014:47:04%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/calender.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/calender.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:32	6224/6224	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/icon.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/icon.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:33	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2014:47:06%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/get.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/get.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:35	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2014:47:08%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/filter-bg.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/filter-bg.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:37	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont.eot?v=4.5.0	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont3295.eot	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css)
17:47:37	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfontd41d.eot	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css)
17:47:38	66624/66624	---M--	200	added ('OK')	font/woff2	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont3295.woff2	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css)
17:47:39	83588/83588	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont.woff?v=4.5.0	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont3295.woff	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css)
17:47:39	142072/142072	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont.ttf?v=4.5.0	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont3295.ttf	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css)
17:47:42	365616/365616	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont.svg?v=4.5.0	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/fontawesome-webfont3295.svg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/font-awesome.css)
17:47:42	2529/2529	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Jan%202021%2014:47:14%20GMT	https://p.w3layouts.com/images/W3Layouts-light.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/images/W3Layouts-light.html	(from https://p.w3layouts.com/images/demobar_w3_4thDec2019.css)
17:47:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Jan%202021%2014:47:17%20GMT	http://cdn.jsdelivr.net/modernizr/2.8.3/modernizr.min.js	C:/My%20Web%20Sites/admin6/cdn.jsdelivr.net/modernizr/2.8.3/modernizr.min.3f.delayed	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:43	52091/52091	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/js/Chart.min.js	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/js/Chart.min.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
17:47:44	17227/17227	---M-Z	200	added ('OK')	application/javascript	etag:W/%22434b-XiOXyMdISApfhjOvp4UOlwLMmrY%22	https://cdn.jsdelivr.net/modernizr/2.8.3/modernizr.min.js	C:/My%20Web%20Sites/admin6/cdn.jsdelivr.net/modernizr/2.8.3/modernizr.min.js	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/index.html)
